Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
pensar,verb,,"<span class=""pos verb v""> <span class=""usage"">to think; to reflect upon a situation</span></span>","<span class=""pos verb v""> <span class=""usage"">to think; to reflect upon a situation; to intend; to try; to think about</span></span>","<span class=""spa"">Cuanto más lo pienso, menos lo entiendo.</span><br>
<span class=""eng"">The more I think about it, the less I understand it.</span><br>
<span class=""spa"">Mientras más pienso en ello, menos me gusta.</span><br>
<span class=""eng"">The more I think of it, the less I like it.</span><br>
<span class=""spa"">Lo más importante es la capacidad de pensar por ti mismo.</span><br>
<span class=""eng"">The most important thing is the ability to think for yourself.</span>",[sound:U5NBX3QPYOSGEK77IRTD7BFFC2MSP52N.mp3]
esperar,verb,aguardar,"<span class=""pos verb vt"">{vt} <span class=""usage"">to hope for, hope to</span></span>
<span class=""pos verb vir reflexive"">{vir} <span class=""usage"">to wait, hold on</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to hope for, hope to [often with a verb in the subjunctive]; to expect, look for [often with a verb in the indicative]; to wait to, wait for, await</span></span>
<span class=""pos verb vir reflexive"">{vir} <span class=""usage"">to wait, hold on (reflexive for emphatic use)</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to hope; to expect [a baby]</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to be expected, expect [impersonal use]</span></span>","<span class=""spa"">Por favor, siéntese aquí y espere.</span><br>
<span class=""eng"">Please sit here and wait.</span><br>
<span class=""spa"">Le espero a usted mañana en el hotel.</span><br>
<span class=""eng"">I'll wait for you in the hotel tomorrow.</span><br>
<span class=""spa"">Nos espera una semana ajetreada.</span><br>
<span class=""eng"">We have a busy week ahead of us.</span>",[sound:LK4KTHEA6XQESHM2HZJNT6K6GUQGUBSH.mp3]
sentir,verb,"arrepentirse, lamentar","<span class=""pos verb vt"">{vt} <span class=""usage"">to feel</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to feel</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to feel; to regret, feel/be sorry; to hear</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to feel</span></span>","<span class=""spa"">Tom se siente muy culpable acerca de lo sucedido.</span><br>
<span class=""eng"">Tom feels very guilty about what happened.</span><br>
<span class=""spa"">Creo que los dos sabemos cómo se siente Tom.</span><br>
<span class=""eng"">I think we both know how Tom feels.</span><br>
<span class=""spa"">Tom sentía que no tenía chances de ganar la carrera.</span><br>
<span class=""eng"">Tom felt he had no chance to win the race.</span>",[sound:KGYKHKTXR4BWPY7JKZK4QTHBNFYYQD7M.mp3]
cosa,f,,"<span class=""pos noun f""> <span class=""usage"">thing</span></span>
<span class=""pos noun f""> <span class=""tag"">[colloquial]:</span><span class=""usage"">thing</span></span>","<span class=""pos noun f""> <span class=""usage"">thing (object, concept)</span></span>
<span class=""pos noun f""> <span class=""tag"">[colloquial]:</span><span class=""usage"">thing (living being or creature)</span></span>","<span class=""spa"">Hay muchas cosas peores que la muerte.</span><br>
<span class=""eng"">There are many things worse than death.</span><br>
<span class=""spa"">Hay cosas más importantes en esta vida.</span><br>
<span class=""eng"">There are more important things in life.</span><br>
<span class=""spa"">No le voy a ese tipo de cosas.</span><br>
<span class=""eng"">I don't go in for that sort of thing.</span>",[sound:JYMX5K3MMNR4PFBZKFX2CTSTTRIROBPL.mp3]
señor,m/f,caballero,"<span class=""pos noun m_f f"">{f} <span class=""usage"">Mrs</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">mister, sir, lord</span></span>","<span class=""pos noun m_f f"">{f} <span class=""usage"">Mrs [title given to a married, divorced or widowed woman]; lady</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">mister, sir, lord (title conferred on a married or an older male); gentleman; master</span></span>
<span class=""pos adj"">{adj} <span class=""tag"">[before noun]:</span><span class=""usage"">great big; whopping</span></span>
<span class=""pos adj""> <span class=""usage"">free</span></span>","<span class=""spa"">Está casado con una señora americana.</span><br>
<span class=""eng"">He is married to an American lady.</span><br>
<span class=""spa"">¿Qué desean ustedes pedir, señores?</span><br>
<span class=""eng"">What do you wish to order, gentlemen?</span><br>
<span class=""spa"">¿Quién es la señora del sombrero rojo?</span><br>
<span class=""eng"">Who's the woman with the red hat?</span>",[sound:536E6RXCDQZDRKDOXAAW7LZ4AZN74YDI.mp3]
mirar,verb,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to look at; to watch</span></span>","<span class=""pos verb vt"">{vt} <span class=""usage"">to look at (to try to see, to pay attention to with one’s eyes); to watch (to look at, view, or observe for a period of time); to watch (to mind, attend, or guard); to consider, think over (to think about seriously); to seek, look for (to try to find)</span></span>
<span class=""pos verb vt""> <span class=""tag"">[usually in the imperative]:</span><span class=""usage"">to used for emphasis; to look</span></span>
<span class=""pos verb vi"">{vi} <span class=""usage"">to look (to try to see something, to pay attention with one’s eyes)</span></span>
<span class=""pos verb vi""> <span class=""tag"">[of a structure]:</span><span class=""usage"">to face, overlook (to be oriented towards a certain direction or thing)</span></span>","<span class=""spa"">A mi madre no le gusta que yo mire televisión.</span><br>
<span class=""eng"">My mother doesn't like my watching TV.</span><br>
<span class=""spa"">Ella miró tímidamente al joven.</span><br>
<span class=""eng"">She glanced shyly at the young man.</span><br>
<span class=""spa"">Se están mirando en el espejo.</span><br>
<span class=""eng"">They are looking at themselves in the mirror.</span>",[sound:A3UOGWVF7V5DNJGBYNVRWXNDMTS2QWKN.mp3]
necesitar,verb,,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to need</span></span>","<span class=""spa"">Ellos necesitan ayuda para entender el equipo de sus oficinas.</span><br>
<span class=""eng"">They need help to understand their office equipment.</span><br>
<span class=""spa"">No podemos abandonar a Tom justo cuando necesita nuestra ayuda.</span><br>
<span class=""eng"">We can't abandon Tom just when he needs our help.</span><br>
<span class=""spa"">Si el niño necesita comer, cocinale algo saludable.</span><br>
<span class=""eng"">If the child needs to eat, cook something healthy for him.</span>",[sound:7ZWR5K5LFGGE2GX3ZLHEKF33SKUBBTAF.mp3]
día,m,jornada,"<span class=""pos noun m""> <span class=""usage"">day (any period of 24 hours)</span></span>","<span class=""pos noun m""> <span class=""usage"">day (any period of 24 hours); day (a period from midnight to the following midnight); day (rotational period of a planet); day (the part of a day period which one spends at work, school, etc.); day, daytime (the part of the day between sunrise and sunset)</span></span>","<span class=""spa"">Tom extendió su estadía por tres días.</span><br>
<span class=""eng"">Tom extended his stay by three days.</span><br>
<span class=""spa"">Tom alimenta a su perro dos veces al día.</span><br>
<span class=""eng"">Tom feeds his dog twice a day.</span><br>
<span class=""spa"">¿Puedes terminar el trabajo en dos días?</span><br>
<span class=""eng"">Can you complete the job in two days?</span>",[sound:SYUNK2DPF7SCPD4B6YLYF36BF2FUODDO.mp3]
nuestro,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">our, ours, to us</span></span>
<span class=""pos pron"">{pron} <span class=""usage"">ours</span></span>","<span class=""spa"">Su precio está por debajo del nuestro.</span><br>
<span class=""eng"">Their price is below ours.</span><br>
<span class=""spa"">Desde ahora eres una de las nuestras.</span><br>
<span class=""eng"">From now on, you're one of us.</span><br>
<span class=""spa"">Las máquinas que produce su compañía son superiores a las nuestras.</span><br>
<span class=""eng"">Machines that his company produces are superior to ours.</span>",[sound:B5Y7BCRERFMPNHFOM54ZJZTN3EPSX6TE.mp3]
hombre,m,varón,"<span class=""pos noun m""> <span class=""usage"">man, (adult male human); man, (all humans collectively)</span></span>","<span class=""pos noun m"">{m} <span class=""usage"">man, (adult male human); man, (all humans collectively); mankind, humankind; boy, (young straight male human being); a 17th century card game also called ombre</span></span>
<span class=""pos noun m""> <span class=""tag"">[anthropology, archaeology, paleontology]:</span><span class=""usage"">man, (individual of the species Homo sapiens, the genus Homo, or the subtribe Hominina)</span></span>
<span class=""pos noun m""> <span class=""tag"">[colloquial]:</span><span class=""usage"">husband</span></span>
<span class=""pos noun m""> <span class=""tag"">[gay slang]:</span><span class=""usage"">top</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">Man!; Hey!; Oh, come on!</span></span>","<span class=""spa"">Él ya es un hombre.</span><br>
<span class=""eng"">He's already a man.</span><br>
<span class=""spa"">Hombre, ¿qué demonios estás buscando?</span><br>
<span class=""eng"">Man, what the hell are you looking for?</span><br>
<span class=""spa"">El hombre responde a la descripción.</span><br>
<span class=""eng"">The man answers the description.</span>",[sound:7VLXREJKXVXITHAFMQOUOBIJHNPV6ND3.mp3]
casa,f,,,"<span class=""pos noun f""> <span class=""usage"">house</span></span>","<span class=""spa"">Su casa se halla en la colina.</span><br>
<span class=""eng"">Her villa sits on the hill.</span><br>
<span class=""spa"">Siempre está en casa los lunes.</span><br>
<span class=""eng"">He's always at home on Mondays.</span><br>
<span class=""spa"">Los domingos siempre está en casa.</span><br>
<span class=""eng"">He's always at home on Sundays.</span>",[sound:HITVM7DZLJJAGUY7376Z6ECRMQ42S6QO.mp3]
verdad,f,,"<span class=""pos noun f""> <span class=""usage"">truth; fact</span></span>","<span class=""pos noun f"">{f} <span class=""usage"">truth; fact</span></span>
<span class=""pos interj"">{interj} <span class=""usage"">right</span></span>","<span class=""spa"">Hay algo de verdad en eso.</span><br>
<span class=""eng"">There is some truth in that.</span><br>
<span class=""spa"">Odias a los turistas, ¿verdad?</span><br>
<span class=""eng"">You hate tourists, don't you?</span><br>
<span class=""spa"">Todavía no ha parado de llover, ¿verdad?</span><br>
<span class=""eng"">The rain hasn't stopped yet, has it?</span>",[sound:IZDXXUCTXLQLUIRZOZYV76FM677KRSPB.mp3]
solo,adv,"únicamente, nomás, solamente","<span class=""pos adv""> <span class=""usage"">only, solely, just; automatically</span></span>","<span class=""pos adv"">{adv} <span class=""usage"">only, solely, just; automatically; self-, by itself</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">sole, only, unique, single; lonely, lonesome; alone, by oneself</span></span>","<span class=""spa"">No hagas preguntas, solo sigue órdenes.</span><br>
<span class=""eng"">Don't ask questions. Just follow orders.</span><br>
<span class=""spa"">Me opongo a que ella vaya sola.</span><br>
<span class=""eng"">I object to her going there alone.</span><br>
<span class=""spa"">Solo te podemos ayudar si tú nos ayudas.</span><br>
<span class=""eng"">We can't help you unless you help us.</span>",[sound:KLI3JF7TGSN3S3V2QZIW3WEBIKMLX7U3.mp3]
tiempo,m,,"<span class=""pos noun m""> <span class=""usage"">time; a while, period of time, long time, length of time</span></span>","<span class=""pos noun m""> <span class=""usage"">time; a while, period of time, long time, length of time, indeterminate amount of time; tense; weather</span></span>","<span class=""spa"">Su hermano llevaba un tiempo desaparecido.</span><br>
<span class=""eng"">His brother had been missing for a while.</span><br>
<span class=""spa"">Tenemos todo el tiempo del mundo.</span><br>
<span class=""eng"">We have all the time in the world.</span><br>
<span class=""spa"">Ella le prometió a su padre que llegaría a tiempo para almorzar.</span><br>
<span class=""eng"">She promised her father to be in time for lunch.</span>",[sound:4ZZNFEODKINAJVHNGHIPROBUYIVHPIPY.mp3]
volver,verb,"regresar, voltear, girar","<span class=""pos verb v"">{v} <span class=""usage"">to return, revert</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to turn</span></span>","<span class=""pos verb v"">{v} <span class=""usage"">to return, revert; to come back, go back; to do again; to turn; to make, drive</span></span>
<span class=""pos verb vr reflexive"">{vr} <span class=""usage"">to turn; to get, become</span></span>","<span class=""spa"">No tengo intención de volver jamás aquí.</span><br>
<span class=""eng"">I have no intention of ever coming back here again.</span><br>
<span class=""spa"">Ella me pidió que me quedara hasta que su madre volviera a casa.</span><br>
<span class=""eng"">She asked me to stay till her mother came home.</span><br>
<span class=""spa"">Cuando uno tiene un sueño maravilloso, no desea volver a la realidad.</span><br>
<span class=""eng"">When one has a wonderful dream, one doesn't wish to come down to earth.</span>",[sound:JM7JNA2O67NAEWK2NVMJNP72BE7I3MMT.mp3]
